date,USA_cpi_value,USA_cpi_days_since_update,UK_cpi_value,UK_cpi_days_since_update,USA_cpi_yoy,USA_cpi_yoy_days_since_update,UK_cpi_yoy,UK_cpi_yoy_days_since_update,UK_cpi_yoy_log
2018-03-27,249.619,14.0,104.4,13,2.263468931091861,14.0,2.9585798816567976,13.0,1.084709383499116
2018-03-28,249.619,15.0,104.4,14,2.263468931091861,15.0,2.9585798816567976,14.0,1.084709383499116
2018-03-29,249.619,16.0,104.4,15,2.263468931091861,16.0,2.9585798816567976,15.0,1.084709383499116
2018-03-30,249.619,17.0,104.4,16,2.263468931091861,17.0,2.9585798816567976,16.0,1.084709383499116
2018-04-02,249.619,20.0,104.4,19,2.263468931091861,20.0,2.9585798816567976,19.0,1.084709383499116
2018-04-03,249.619,21.0,104.4,20,2.263468931091861,21.0,2.9585798816567976,20.0,1.084709383499116
2018-04-04,249.619,22.0,104.4,21,2.263468931091861,22.0,2.9585798816567976,21.0,1.084709383499116
2018-04-05,249.619,23.0,104.4,22,2.263468931091861,23.0,2.9585798816567976,22.0,1.084709383499116
2018-04-06,249.619,24.0,104.4,23,2.263468931091861,24.0,2.9585798816567976,23.0,1.084709383499116
2018-04-09,249.619,27.0,104.4,26,2.263468931091861,27.0,2.9585798816567976,26.0,1.084709383499116
2018-04-10,249.619,28.0,104.4,27,2.263468931091861,28.0,2.9585798816567976,27.0,1.084709383499116
2018-04-11,249.462,0.0,104.9,0,2.3309497646499366,0.0,2.7424094025465307,0.0,1.0088368779986325
2018-04-12,249.462,1.0,104.9,1,2.3309497646499366,1.0,2.7424094025465307,1.0,1.0088368779986325
2018-04-13,249.462,2.0,104.9,2,2.3309497646499366,2.0,2.7424094025465307,2.0,1.0088368779986325
2018-04-16,249.462,5.0,104.9,5,2.3309497646499366,5.0,2.7424094025465307,5.0,1.0088368779986325
2018-04-17,249.462,6.0,104.9,6,2.3309497646499366,6.0,2.7424094025465307,6.0,1.0088368779986325
2018-04-18,249.462,7.0,104.9,7,2.3309497646499366,7.0,2.7424094025465307,7.0,1.0088368779986325
2018-04-19,249.462,8.0,104.9,8,2.3309497646499366,8.0,2.7424094025465307,8.0,1.0088368779986325
2018-04-20,249.462,9.0,104.9,9,2.3309497646499366,9.0,2.7424094025465307,9.0,1.0088368779986325
2018-04-23,249.462,12.0,104.9,12,2.3309497646499366,12.0,2.7424094025465307,12.0,1.0088368779986325
2018-04-24,249.462,13.0,104.9,13,2.3309497646499366,13.0,2.7424094025465307,13.0,1.0088368779986325
2018-04-25,249.462,14.0,104.9,14,2.3309497646499366,14.0,2.7424094025465307,14.0,1.0088368779986325
2018-04-26,249.462,15.0,104.9,15,2.3309497646499366,15.0,2.7424094025465307,15.0,1.0088368779986325
2018-04-27,249.462,16.0,104.9,16,2.3309497646499366,16.0,2.7424094025465307,16.0,1.0088368779986325
2018-04-30,249.462,19.0,104.9,19,2.3309497646499366,19.0,2.7424094025465307,19.0,1.0088368779986325
2018-05-01,249.462,20.0,104.9,20,2.3309497646499366,20.0,2.7424094025465307,20.0,1.0088368779986325
2018-05-02,249.462,21.0,104.9,21,2.3309497646499366,21.0,2.7424094025465307,21.0,1.0088368779986325
2018-05-03,249.462,22.0,104.9,22,2.3309497646499366,22.0,2.7424094025465307,22.0,1.0088368779986325
2018-05-04,249.462,23.0,104.9,23,2.3309497646499366,23.0,2.7424094025465307,23.0,1.0088368779986325
2018-05-07,249.462,26.0,104.9,26,2.3309497646499366,26.0,2.7424094025465307,26.0,1.0088368779986325
2018-05-08,249.462,27.0,104.9,27,2.3309497646499366,27.0,2.7424094025465307,27.0,1.0088368779986325
2018-05-09,249.462,28.0,104.9,28,2.3309497646499366,28.0,2.7424094025465307,28.0,1.0088368779986325
2018-05-10,250.013,0.0,104.9,29,2.4709963021052994,0.0,2.7424094025465307,29.0,1.0088368779986325
2018-05-11,250.013,1.0,104.9,30,2.4709963021052994,1.0,2.7424094025465307,30.0,1.0088368779986325
2018-05-14,250.013,4.0,105.0,2,2.4709963021052994,4.0,2.4390243902439046,2.0,0.8915981192837844
2018-05-15,250.013,5.0,105.0,3,2.4709963021052994,5.0,2.4390243902439046,3.0,0.8915981192837844
2018-05-16,250.013,6.0,105.0,4,2.4709963021052994,6.0,2.4390243902439046,4.0,0.8915981192837844
2018-05-17,250.013,7.0,105.0,5,2.4709963021052994,7.0,2.4390243902439046,5.0,0.8915981192837844
2018-05-18,250.013,8.0,105.0,6,2.4709963021052994,8.0,2.4390243902439046,6.0,0.8915981192837844
2018-05-21,250.013,11.0,105.0,9,2.4709963021052994,11.0,2.4390243902439046,9.0,0.8915981192837844
2018-05-22,250.013,12.0,105.0,10,2.4709963021052994,12.0,2.4390243902439046,10.0,0.8915981192837844
2018-05-23,250.013,13.0,105.0,11,2.4709963021052994,13.0,2.4390243902439046,11.0,0.8915981192837844
2018-05-24,250.013,14.0,105.0,12,2.4709963021052994,14.0,2.4390243902439046,12.0,0.8915981192837844
2018-05-25,250.013,15.0,105.0,13,2.4709963021052994,15.0,2.4390243902439046,13.0,0.8915981192837844
